index,index,1. open,2. high,3. low,4. close,5. volume,Ticker
130,2/26/2010,26.98,31.6,25.7,29.87,9668900,CRS
131,1/29/2010,27.55,33.04,26.6,26.8,12725800,CRS
132,12/31/2009,23.52,28.35,22.56,26.95,10423600,CRS
133,11/30/2009,21.15,25.3,20.12,23.18,9619000,CRS
134,10/30/2009,23.18,24.96,20.65,21.03,14425000,CRS
135,9/30/2009,21.21,26.3,19.94,23.39,12543800,CRS
136,8/31/2009,19.08,22,17.86,21.31,13467600,CRS
137,7/31/2009,21.07,22.17,16.29,18.69,16648300,CRS
138,6/30/2009,22.955,25.25,18.69,20.81,13168600,CRS
139,5/29/2009,20.59,23.29,18.5,22.48,13451000,CRS
140,4/30/2009,13.68,21.37,13.52,20.67,14681300,CRS
141,3/31/2009,13.28,16.25,12.015,14.12,18747300,CRS
142,2/27/2009,16.21,18.88,13.11,13.7,11918600,CRS
143,1/30/2009,20.72,24.22,16.31,16.5,14220500,CRS
144,12/31/2008,16.28,20.87,14.21,20.54,14350300,CRS
145,11/28/2008,18.09,20.3,11.72,16.66,13870500,CRS
146,10/31/2008,25.22,25.58,16.34,18.1,25854500,CRS
147,9/30/2008,38.61,38.74,24.12,25.65,20981400,CRS
148,8/29/2008,38.54,40.14,35.29,38.81,18691800,CRS
149,7/31/2008,43.1,43.12,35.62,38.7,16395200,CRS
150,6/30/2008,54.96,55.9,41.69,43.65,21515900,CRS
151,5/30/2008,51.27,61.75,50.88,55.2,19618000,CRS
152,4/30/2008,57.17,63.07,45.2,51.28,20843400,CRS
153,3/31/2008,64.28,64.95,55.15,55.97,12758900,CRS
154,2/29/2008,61.63,68.61,57.76,62.83,9665100,CRS
155,1/31/2008,74.65,75.38,50.77,61.53,17632200,CRS
156,12/31/2007,76.46,79.66,68.8,75.17,8821700,CRS
157,11/30/2007,143,145.61,65.85,75.45,10759050,CRS
158,10/31/2007,129.75,150.32,123.63,144.91,10672000,CRS
159,9/28/2007,115.84,133.01,110.63,130.01,9076300,CRS
160,8/31/2007,117.7,120.24,99.53,116.84,15681100,CRS
161,7/31/2007,132.17,149.95,111.36,118.69,11384300,CRS
162,6/29/2007,132.96,137.22,124.3,130.31,9612000,CRS
163,5/31/2007,119.7,137.99,118.75,132.57,10645500,CRS
164,4/30/2007,120.2,129.5,120.06,121.37,7462300,CRS
165,3/30/2007,114.61,124.44,109.05,120.76,9269500,CRS
166,2/28/2007,117.51,125.65,113.28,118.66,8997600,CRS
167,1/31/2007,102,117.72,96.38,117.1,12717000,CRS
168,12/29/2006,107.04,113.5,100.15,102.52,9648600,CRS
