Ticker,pct change,Industry,Sector,Full Time Emp,Year
TSE,59.881956155143335,Basic Materials,Specialty Chemicals,2700,2016
ANIP,47.19564500164962,Healthcare,Drug Manufacturers-Specialty & Generic,338,2016
CAL,18.098720292504574,Consumer Cyclical,Footwear & Accessories,11400,2016
BRKL,31.951219512195117,Financial Services,Banks-Regional,763,2016
TILE,8.94878706199461,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4110,2016
LQDT,33.23076923076923,Consumer Cyclical,Internet Retail,574,2016
EAT,-0.42398546335554377,Consumer Cyclical,Restaurants,62200,2016
PGTI,14.410480349344967,Industrials,Building Products & Equipment,3000,2016
RRC,13.969732246798605,Energy,Oil & Gas E&P,655,2016
BRC,40.23968042609853,Industrials,Security & Protection Services,5400,2016
VECO,36.054888507718694,Technology,Semiconductor Equipment & Materials,954,2016
CUTR,35.21613832853026,Healthcare,Medical Devices,447,2016
AMBC,37.60000000000001,Financial Services,Insurance-Specialty,103,2016
UFI,26.84646031259577,Consumer Cyclical,Textile Manufacturing,2560,2016
LXP,32.12962962962963,Real Estate,REIT-Diversified,57,2016
HI,29.387222946544988,Industrials,Specialty Industrial Machinery,11000,2016
NWN,13.127090301003335,Utilities,Utilities-Regulated Gas,1200,2016
TNC,24.00280898876405,Industrials,Specialty Industrial Machinery,4373,2016
MTDR,37.77173913043478,Energy,Oil & Gas E&P,304,2016
DSPG,26.666666666666668,Technology,Semiconductors,340,2016
TMST,41.79586563307494,Basic Materials,Steel,2055,2016
CAKE,19.33867735470943,Consumer Cyclical,Restaurants,46250,2016
BBBY,-6.2253937007874045,Consumer Cyclical,Specialty Retail,55000,2016
DXPE,54.86470926885435,Industrials,Industrial Distribution,2747,2016
MTSC,5.8201058201058276,Technology,Scientific & Technical Instruments,3500,2016
SKT,10.592509782001125,Real Estate,REIT-Retail,285,2016
SENEA,31.011235955056176,Consumer Defensive,Packaged Foods,3200,2016
MD,-4.200420042004197,Healthcare,Medical Care Facilities,9480,2016
BRKS,44.17106033977739,Technology,Semiconductor Equipment & Materials,3159,2016
INN,36.681222707423586,Real Estate,REIT-Hotel & Motel,59,2016
GIII,-66.98240866035184,Consumer Cyclical,Apparel Retail,4000,2016
TMP,40.74465834567379,Financial Services,Banks-Regional,934,2016
CRMT,46.37714285714286,Consumer Cyclical,Auto & Truck Dealerships,1750,2016
INVA,6.355140186915885,Healthcare,Biotechnology,5,2016
JBT,46.70157068062827,Industrials,Specialty Industrial Machinery,6200,2016
OSPN,-13.55311355311355,Technology,Software-Application,789,2016
TISI,38.853503184713375,Industrials,Specialty Business Services,5500,2016
NWBI,30.282861896838604,Financial Services,Banks-Regional,2523,2016
CPSI,-122.58474576271186,Healthcare,Health Information Services,2000,2016
RRGB,-9.468085106382986,Consumer Cyclical,Restaurants,24586,2016
GWB,40.077999541179175,Financial Services,Banks-Regional,1607,2016
VVI,33.17460317460318,Industrials,Specialty Business Services,5361,2016
ZYXI,-10.000000000000009,Healthcare,Medical Devices,283,2016
IOSP,27.226277372262768,Basic Materials,Specialty Chemicals,2000,2016
PIPR,53.103448275862064,Financial Services,Capital Markets,1510,2016
HIBB,13.780160857908848,Consumer Cyclical,Specialty Retail,3500,2016
CROX,-34.25655976676386,Consumer Cyclical,Footwear & Accessories,3803,2016
BPFH,37.462235649546834,Financial Services,Banks-Regional,779,2016
KRG,-12.862010221465075,Real Estate,REIT-Retail,133,2016
CPS,33.00444960340491,Consumer Cyclical,Auto Parts,28000,2016
WSR,23.36578581363005,Real Estate,REIT-Retail,85,2016
BOOT,51.43769968051119,Consumer Cyclical,Apparel Retail,1100,2016
EBIX,40.19281332164768,Technology,Software-Application,7975,2016
CALM,-14.25014148273911,Consumer Defensive,Farm Products,3461,2016
THRM,-18.197932053175762,Consumer Cyclical,Auto Parts,11000,2016
WABC,30.605434609883996,Financial Services,Banks-Regional,737,2016
GHL,14.151624548736455,Financial Services,Capital Markets,405,2016
CVBF,33.231574356737895,Financial Services,Banks-Regional,0,2016
XNCR,58.890577507598785,Healthcare,Biotechnology,166,2016
TPRE,-0.8658008658008627,Financial Services,Insurance-Reinsurance,35,2016
NBTB,38.15663801337155,Financial Services,Banks-Regional,1788,2016
CUBI,29.927414852037966,Financial Services,Banks-Regional,881,2016
SEM,28.075471698113212,Healthcare,Medical Care Facilities,35700,2016
NEO,20.420070011668614,Healthcare,Diagnostics & Research,1700,2016
HA,38.228070175438596,Industrials,Airlines,7087,2016
NTUS,-1.3793103448275978,Healthcare,Medical Devices,1484,2016
DRQ,2.3480432972522842,Energy,Oil & Gas Equipment & Services,1444,2016
ALRM,41.96909809558031,Technology,Software-Application,1361,2016
MMI,11.526946107784426,Real Estate,Real Estate Services,877,2016
INGN,50.51362215274676,Healthcare,Medical Devices,1020,2016
APEI,35.72301425661915,Consumer Defensive,Education & Training Services,1410,2016
JJSF,19.073671588098627,Consumer Defensive,Packaged Foods,4100,2016
BCC,8.177777777777777,Basic Materials,Lumber & Wood Production,5900,2016
UFCS,21.43583485865365,Financial Services,Insurance-Property & Casualty,1173,2016
RCM,-11.11111111111111,Healthcare,Health Information Services,19000,2016
HNGR,78.34650804831598,Healthcare,Medical Care Facilities,4800,2016
GCP,33.719626168224295,Basic Materials,Specialty Chemicals,2000,2016
GMS,24.00956284153006,Industrials,Building Products & Equipment,5308,2016
TCMD,11.47166361974406,Healthcare,Medical Devices,629,2016
KNSL,38.84151720082328,Financial Services,Insurance-Property & Casualty,275,2016
FHB,22.860425043078692,Financial Services,Banks-Regional,2099,2016
FLGT,22.212618841832327,Healthcare,Diagnostics & Research,473,2016
FBK,19.653179190751437,Financial Services,Banks-Regional,1377,2016
TRHC,22.229639519359147,Healthcare,Health Information Services,1286,2016
DFIN,17.0147954743255,Financial Services,Capital Markets,2900,2016
ASIX,15.53748870822042,Basic Materials,Chemicals,1520,2016
PVAC,0.0,Energy,Oil & Gas E&P,94,2016
